product,md_one,md_two,md_three,md_four,md_five,new_srp
0383220-7NF,1800,1500,0,0,,0
0383222-6ND,1800,0,0,0,,0
0383222-6NS,1800,1800,0,0,,0
0383223-6ND,1800,1800,0,0,,0
0383224-6ND,1800,1800,0,0,,0
0383397-7,0,0,0,0,,0
0383398-7,2500,1800,0,0,,0
0383401-7,1500,0,0,0,,0
038536-4NF,0,0,0,0,,1299
038537-4,0,0,0,0,,1299
038544-4NF,1000,0,0,0,,0
038545-4,0,0,0,0,,1299
038547-4,0,0,0,0,,1299
038551-4,0,0,0,0,,1299
038552-4,0,0,0,0,,1299
038555-4,0,0,0,0,,1299
039648-3,350,0,0,0,,0
0401-1,0,0,0,0,,0
0402-1,0,0,0,0,,0
0403-3,0,0,0,0,,0
0404-1BK,0,0,0,0,,0
0404-1WH,0,0,0,0,,0
0405-1,0,0,0,0,,0
0406-1,0,0,0,0,,0
0407-1,0,0,0,0,,0
040714-16,2499.88,0,0,0,,0
0408-1,0,0,0,0,,0
0409-1,0,0,0,0,,0
0410-1,0,0,0,0,,170
0411-1,0,0,0,0,,200
0411344-4,0,0,0,0,,1299
0411359-5,1000,0,0,0,,0
0411555-4,0,0,0,0,,0
0411567-4,0,0,0,0,,0
0411650-6,0,0,0,0,,1799.75
0411783-4,0,0,0,0,,1299
0411789-4,0,0,0,0,,1299
0411800-5,0,0,0,0,,0
0411818-14,0,0,0,0,,0
0411824-10,0,0,0,0,,0
0411831-9,0,0,0,0,,0
0411832-16,2800,0,0,0,,0
0412019-4,1000,0,0,0,,0
0412021-4,0,0,0,0,,1299
0412028-4,0,0,0,0,,1299
0412032-6,0,0,0,0,,0
0412033-6,0,0,0,0,,0
0412038-5,800,0,0,0,,0
0412039-5,800,0,0,0,,0
0412041-5,800,0,0,0,,0
0412043-5,800,0,0,0,,0
0412044-5,800,0,0,0,,0
0412052-5,800,800,0,0,,0
0412-1,0,0,0,0,,170
0412199-14,0,0,0,0,,0
0412523-5,0,0,0,0,,0
0412653-10,0,0,0,0,,0
0412655-4,0,0,0,0,,1299
0412656-4,0,0,0,0,,1299
0412742-9,0,0,0,0,,0
0412743-9,0,0,0,0,,0
0412895-12,0,0,0,0,,0
0412895-12B,2800,0,0,0,,0
