Product,OH SKU,OH SRP,SMH SKU,SMH PRICE
123123-12,203039226637,12999.75,203839232688,11999
M1917-29,203039162156,9999.75,203839204044,9995
M1947-15,203039214053,4799.75,203839195149,4999.75
M1657-19,203039129023,6999.75,203839136867,6999.75
M1656-12,203039129020,3999.75,203839136864,3999.75
M1654-12,203039129016,3999.75,203839136866,3999.75
123064-12,203039230980,12999,203839232688,11999
123206-10,203039231484,7999,0,0
1323014-12,203039201972,10999.75,203839232640,10999
1323017-12,203039201972,10999.75,203839232640,10999
D16641-14,203039230979,12999,203839222596,12950
123114-12,203039223847,8999.75,203839223720,7999
123339-7,203039231483,5999,0,0
D16642-13,203039183923,8499.88,203839229050,8000
M1919-29,203039194861,9999.75,203839195150,9995
502789-16,203039223110,9999,203839204044,9995
122039-8,203039197338,6999.75,203839245136,6999
123297-10,203039233035,9999,203839260594,9999
123259-10,203039231872,7999,203839223720,7999
M1706-12,203039129014,3999.75,203839136866,3999.75
123045-20,203039226634,22999.75,203839222616,24999
123141-6,203039226639,5999.75,203839232687,5999
123140-6,203039226639,5999.75,203839232687,5999
123043-20,203039226635,22999.75,203839222616,24999
123042-20,203039226635,22999.75,203839222616,24999
123009-18,203039227044,9999,203839223699,9999
123003-18,203039209746,14999.75,203839222615,14999
M1719-19,203039129021,6999.75,203839136867,6999.75
M1725-19,203039112647,7999.75,203839147352,7999.75
123039-20,203039209746,14999.75,203839222615,14999
123019-20,203039226635,22999.75,203839222616,24999
123017-20,203039226633,22999.75,203839222616,24999
822017-17,203039129017,6999.75,203839242795,6999
123098-3,203039232065,2799,203839243401,2799
D18214-11,203039232517,7999,203839223650,4999
822016-17,203039129023,6999.75,203839242795,6999
171577-7,203039232458,2999.85,203839229039,3000
501868-10,203039232455,4000,203839231932,4000
RD16404-9,203039232453,7499.88,203839229022,8000
123055-4,203039231877,2799,203839243402,2799
123058-4,203039231877,2799,203839243402,2799
W1792-11,203039152468,3299,0,0
W16493-13,203039142113,5999,0,0
W16492-13,203039142113,5999,0,0
DS1896-23,203039201546,11499.88,0,0
DS17202-20,203039181431,9999.88,203839222620,19995
D18136-20,203039209746,14999.75,203839186328,14999.75
123257-10,203039197339,7999.75,203839223720,7999
123197-10,203039231872,7999,203839246229,7999
M1917-34,203039194856,12999.75,203839204045,12950
123162-8,203010426521,3999,203839232685,3999
123160-8,203010426521,3999,203839232685,3999
123243-8,203039231875,5999,203839246232,5999
123242-8,203039231874,5999,203839246231,5999
123241-8,203039231873,5999,203839246230,5999
123224-10,203039197339,7999.75,203839223720,7999
M1707-12,203039129022,3999.75,203839136866,3999.75
M1706-19,203039129015,6999.75,203839136867,6999.75
M1704-19,203039129021,6999.75,203839136865,6999.75
M1704-12,203039129020,3999.75,203839136864,3999.75
M21052-16,203039129027,6999.75,203839233254,6999
123181-8,203039223842,3999.75,203839223678,3999
123106-8,203039208870,6999.75,203839188156,6999
123104-8,203039208870,6999.75,203839186937,6999
123022-21,203039209746,14999.75,203839222615,14999
D1991-12,203039220525,9999.75,203839229018,6000
123026-20,203039226634,22999.75,203839222616,24999
T1964-2,203039179718,3999.88,0,0
123126-12,203039226641,12999.75,203839232688,11999
123002-18,203039209746,14999.75,203839222615,14999
