id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,D17252-10,,Physical Locations/Subcontracting Location,1
,M1536-34,OH Mall of Asia,OHMOA/Stock,1
,D21017-7,OH Mall of Asia,OHMOA/Stock,1
,123257-10,OH Mall of Asia,OHMOA/Stock,1
,124093-10,OH Mall of Asia,OHMOA/Stock,1
,125004-15,OH Mall of Asia,OHMOA/Stock,1
,925015-1,OH Mall of Asia,OHMOA/Stock,2
,925016-1,OH Mall of Asia,OHMOA/Stock,2
,925017-1,OH Mall of Asia,OHMOA/Stock,3
,124042-16,OH Cebu,OHCEB/Stock,1
,124044-15,OH Cebu,OHCEB/Stock,1
,123093-4,OH Cebu,OHCEB/Stock,2
,123094-4,OH Cebu,OHCEB/Stock,1
,D1981-15,OH Cebu,OHCEB/Stock,1
,D20001-10,OH Cebu,OHCEB/Stock,1
,D1946-20G,OH Cebu,OHCEB/Stock,1
,D21063-7G,OH Cebu,OHCEB/Stock,2
,924063-2,OH Cebu,OHCEB/Stock,1
,924064-2,OH Cebu,OHCEB/Stock,1
,1125034-1,OH Cebu,OHCEB/Stock,1
,123324-12,SMH Mall of Asia,SMHMO/Stock,2
,123280-11,SMH Mall of Asia,SMHMO/Stock,1
,124017-12,SMH Mall of Asia,SMHMO/Stock,1
,122044-20G,SMH Mall of Asia,SMHMO/Stock,1
,W22031-25,SMH Mall of Asia,SMHMO/Stock,1
,1325122-9,SMH Mall of Asia,SMHMO/Stock,1
,125024-13,SMH Mall of Asia,SMHMO/Stock,1
,125025-13,SMH Mall of Asia,SMHMO/Stock,1
,125026-13,SMH Mall of Asia,SMHMO/Stock,1
,D21009-5N,SMH Mall of Asia,SMHMO/Stock,1
,D18135-19,SMH Mall of Asia,SMHMO/Stock,2
,123489-12,SMH Mall of Asia,SMHMO/Stock,1
,123490-12,SMH Mall of Asia,SMHMO/Stock,1
,123496-12,SMH Mall of Asia,SMHMO/Stock,1
,123499-10,SMH Mall of Asia,SMHMO/Stock,1
,1325176-15,SMH Mall of Asia,SMHMO/Stock,1
,125035-10,OH Megamall,OHMEG/Stock,1
,1325127-10,OH Megamall,OHMEG/Stock,1
,1325129-10,OH Megamall,OHMEG/Stock,2
,1325107-8,OH Megamall,OHMEG/Stock,1
,1325108-8,OH Megamall,OHMEG/Stock,1
,1325109-8,OH Megamall,OHMEG/Stock,2
,1325110-8,OH Megamall,OHMEG/Stock,1
,125057-20,SMH Ortigas,SMHOR/Stock,1
,1325121-9,SMH Ortigas,SMHOR/Stock,1
,123489-12,SMH Ortigas,SMHOR/Stock,1
,123490-12,SMH Ortigas,SMHOR/Stock,1
,123496-12,SMH Ortigas,SMHOR/Stock,1
,123499-10,SMH Ortigas,SMHOR/Stock,1
,D21009-5N,SMH Ortigas,SMHOR/Stock,3
,125024-13,SMH Ortigas,SMHOR/Stock,1
,1324169-8,SMH Ortigas,SMHOR/Stock,1
,122044-20G,SMH Ortigas,SMHOR/Stock,1
,D21010-5N,SMH Ortigas,SMHOR/Stock,3
,D21032-8,SMH Ortigas,SMHOR/Stock,1
,D21060-7N,SMH Ortigas,SMHOR/Stock,1
,M1536-34,SMH Ortigas,SMHOR/Stock,1
,M1625-12,SMH Ortigas,SMHOR/Stock,3
,925015-1,OH Clark,OHCLK/Stock,1
,925016-1,OH Clark,OHCLK/Stock,2
,925017-1,OH Clark,OHCLK/Stock,4
,1325107-8,OH Clark,OHCLK/Stock,1
